BestMatchLKF: 55, SbBoW 0.75 matches: 338
BestMatchLKF: 55, SbBoW 0.75 matches: 269
BestMatchLKF: 55, SbBoW 0.75 matches: 207
BestMatchLKF: 55, SbBoW 0.75 matches: 168
BestMatchLKF: 55, SbBoW 0.75 matches: 177
BestMatchLKF: 55, SbBoW 0.75 matches: 133
BestMatchLKF: 55, SbBoW 0.75 matches: 131
BestMatchLKF: 55, SbBoW 0.75 matches: 121
BestMatchLKF: 55, SbBoW 0.75 matches: 97
BestMatchLKF: 56, SbBoW 0.75 matches: 113
BestMatchLKF: 56, SbBoW 0.75 matches: 127
BestMatchLKF: 56, SbBoW 0.75 matches: 125
BestMatchLKF: 56, SbBoW 0.75 matches: 128
BestMatchLKF: 56, SbBoW 0.75 matches: 167
BestMatchLKF: 56, SbBoW 0.75 matches: 168
BestMatchLKF: 56, SbBoW 0.75 matches: 202
BestMatchLKF: 56, SbBoW 0.75 matches: 221
BestMatchLKF: 56, SbBoW 0.75 matches: 271
BestMatchLKF: 56, SbBoW 0.75 matches: 989
BestMatchLKF: 56, SbBoW 0.75 matches: 308
BestMatchLKF: 56, SbBoW 0.75 matches: 251
BestMatchLKF: 56, SbBoW 0.75 matches: 211
BestMatchLKF: 56, SbBoW 0.75 matches: 171
BestMatchLKF: 56, SbBoW 0.75 matches: 152
BestMatchLKF: 57, SbBoW 0.75 matches: 142
BestMatchLKF: 57, SbBoW 0.75 matches: 152
BestMatchLKF: 57, SbBoW 0.75 matches: 175
BestMatchLKF: 57, SbBoW 0.75 matches: 178
BestMatchLKF: 57, SbBoW 0.75 matches: 217
BestMatchLKF: 57, SbBoW 0.75 matches: 256
BestMatchLKF: 57, SbBoW 0.75 matches: 379
BestMatchLKF: 57, SbBoW 0.75 matches: 347
BestMatchLKF: 57, SbBoW 0.75 matches: 328
BestMatchLKF: 57, SbBoW 0.75 matches: 243
BestMatchLKF: 57, SbBoW 0.75 matches: 204
BestMatchLKF: 57, SbBoW 0.75 matches: 175
BestMatchLKF: 58, SbBoW 0.75 matches: 123
BestMatchLKF: 57, SbBoW 0.75 matches: 137
